year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
2013,6,289123,1422,0,1,39.02,15.15,1,1,0,1,13,1,24.02,34,15.15,58.9,4.69,13.47,1,7,12.63,36.27,1,8,1.71,11.37,1,9,13.45,44.78,1,1,0.0,0.0,9,0,0.0,9,0,0.0,9,1,0.0,9,7,0.0,4,0.0,0,0.0,0.0,1276,3,24.015,107.18,65.63,20.3,83.22,1,0,0,1,0.0
2013,6,373710,1240,0,3,0.02,11.54,1,1,0,1,19,1,1.5,71,5.72,28.2,2.0,1.4,3,0,0.0,0.0,3,51,3.57,23.77,3,0,0.0,0.0,3,233,5.82,0.06,3,0,0.0,3,115,5.82,3,0,0.0,3,12,0.0,0,0.0,0,0.0,0.0,1276,5,25.51,73.6,0.0,60.5,0.0,633,0,229,0,0.0
2013,6,445135,640,0,1,3.79,3.23,1,1,0,0,35,0,0.0,60,1.43,34.17,0.38,4.52,1,0,0.0,0.0,1,14,1.43,18.72,1,0,0.0,0.0,1,31,1.8,0.06,1,10,0.6,1,20,1.2,1,0,0.0,1,33,0.0,0,0.0,0,0.0,0.0,1276,1,5.0,148.0,0.0,92.92,0.0,89,33,50,0,0.0
2013,6,926382,436,0,1276,7.42,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,977807,227,0,4,12.21,1.77,1,1,0,0,1276,0,0.0,16,1.71,13.35,1.56,10.42,4,0,0.0,0.0,4,8,0.15,1.0,4,0,0.0,0.0,4,1,0.06,0.06,9,0,0.0,9,1,0.06,9,0,0.0,9,4,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,15.62,0.0,3.08,0.0,1,0,1,0,0.0
2013,6,980148,100,0,65,0.01,0.0,0,0,0,0,83,0,0.0,0,0.0,0.0,0.0,0.0,65,0,0.0,0.0,65,0,0.0,0.0,65,0,0.0,0.0,65,0,0.0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,0,0.0,0,0.0,0.0,1276,1,4.0,41.02,0.0,16.6,0.0,6,0,0,0,0.0
2013,6,993821,284,0,1,7.44,4.79,1,1,1,1,1,1,10.9,9,0.42,3.72,0.42,2.82,1,0,0.0,0.0,1,7,0.42,2.82,1,0,0.0,0.0,1,25,1.02,0.06,1,1,0.06,1,16,0.96,1,0,0.0,1,30,0.0,0,0.0,102,16.64,3.35,275,4,11.9,8.32,0.0,0.0,0.0,16,1,5,0,6.79
2013,6,997536,72,0,25,8.41,0.0,1,0,0,0,39,0,0.0,6,0.0,0.0,0.0,0.0,25,0,0.0,0.0,25,0,0.0,0.0,25,0,0.0,0.0,25,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,3,0.0,0,0.0,0,0.0,0.0,37,4,21.0,52.85,0.0,0.0,0.0,0,0,0,0,0.3
2013,6,9691,978,0,9,0.0,0.3,1,0,0,0,1276,0,0.0,17,0.3,2.0,0.15,1.0,9,0,0.0,0.0,9,14,0.3,2.0,9,0,0.0,0.0,9,0,0.0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,82,12,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,5.0,0.0,4.0,0.0,9,0,9,0,0.0
2013,6,17757,906,0,3,8.27,0.29,1,1,1,0,1276,0,0.0,7,0.0,0.0,0.0,0.0,6,0,0.0,0.0,6,2,0.0,0.0,6,0,0.0,0.0,6,6,0.24,0.06,3,0,0.0,3,4,0.24,3,0,0.0,3,2,0.0,0,0.0,3,0.4,0.05,25,0,0.0,8.65,0.0,2.0,0.72,8,0,6,0,50.9
2013,6,67305,1980,0,1,7.07,11.21,1,0,0,1,22,1,12.0,61,11.21,64.42,0.61,3.38,1,0,0.0,0.0,1,54,9.95,55.28,1,0,0.0,0.0,1,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,6,0.0,0,0.0,0,0.0,0.0,56,1,12.0,83.08,0.0,72.1,0.0,0,0,0,0,0.3
2013,6,78940,1986,0,1,5.19,3.66,1,1,0,1,9,1,6.0,40,1.8,15.57,0.8,5.33,1,0,0.0,0.0,1,14,1.8,13.88,1,0,0.0,0.0,1,32,1.86,0.06,3,0,0.0,3,31,1.86,3,0,0.0,3,6,0.0,0,0.0,0,0.0,0.0,1276,2,12.0,30.1,0.0,26.38,0.0,69,1,66,0,0.0
2013,6,122809,1674,0,1,6.17,11.89,1,0,0,1,14,1,6.0,53,11.89,81.25,1.38,9.18,1,0,0.0,0.0,1,42,11.59,77.27,1,0,0.0,0.0,1,0,0.0,0.0,56,0,0.0,56,0,0.0,56,0,0.0,56,12,0.0,0,0.0,0,0.0,0.0,1276,4,24.0,181.55,0.0,169.23,0.0,6,5,1,0,0.0
2013,6,198884,1975,0,1,6.96,1.08,1,1,0,0,33,0,0.0,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,1,0.0,0.0,1,0,0.0,0.0,1,65,1.08,0.06,1,4,0.24,1,14,0.84,1,0,0.0,1,8,0.0,0,0.0,0,0.0,0.0,1276,4,12.01,1.0,0.0,0.0,0.0,215,4,66,39,0.0
2013,6,209585,1985,0,1,6.55,6.42,1,1,0,1,8,1,6.0,8,0.3,3.38,0.15,1.0,8,0,0.0,0.0,8,3,0.3,2.0,8,0,0.0,0.0,8,103,6.12,0.06,1,4,0.24,1,98,5.88,1,0,0.0,1,5,0.0,0,0.0,0,0.0,0.0,1276,4,24.0,11.32,0.0,7.0,0.0,370,32,334,0,0.0
2013,6,330516,1437,0,4,7.2,2.43,1,0,0,0,1276,0,0.0,19,2.43,16.68,1.07,7.12,4,0,0.0,0.0,4,7,2.05,13.67,4,0,0.0,0.0,4,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,7,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,32.28,0.0,24.27,0.0,0,0,0,0,0.0
2013,6,382562,976,0,2,16.25,22.21,1,1,0,1,25,2,29.02,37,0.0,8.85,0.0,1.75,2,0,0.0,0.0,2,1,0.0,0.0,2,0,0.0,0.0,2,362,22.21,0.8,2,28,0.54,2,329,19.74,2,3,0.33,2,12,1.6,2,0.0,0,0.0,0.0,62,7,59.015,81.28,0.0,60.6,0.0,925,54,865,3,82.7
2013,6,404725,877,0,1,7.06,0.12,1,1,0,0,55,0,0.0,2,0.0,0.05,0.0,0.05,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0,1,2,0.12,0.06,13,0,0.0,13,2,0.12,13,0,0.0,13,10,0.0,1,0.0,0,0.0,0.0,1276,3,24.0,114.13,0.0,106.95,0.0,16,1,14,0,0.0
2013,6,432143,742,0,8,0.0,2.64,1,1,0,0,1276,0,0.0,10,2.64,17.62,1.06,7.03,8,0,0.0,0.0,8,9,1.59,10.58,8,0,0.0,0.0,8,1,0.0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,14,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,48.12,0.0,25.38,0.0,2,0,1,0,0.0
2013,6,947509,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,983945,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,984969,15880,0,1271,0.0,0.0,0,0,0,0,1271,0,0.0,0,0.0,0.0,0.0,0.0,1271,0,0.0,0.0,1271,0,0.0,0.0,1271,0,0.0,0.0,1271,0,0.0,0.0,1271,0,0.0,1271,0,0.0,1271,0,0.0,1271,0,0.0,0,0.0,0,0.0,0.0,1271,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,994831,387,0,2,12.87,4.06,1,1,0,1,26,1,5.0,4,1.0,12.37,0.78,5.17,2,0,0.0,0.0,2,3,0.85,11.37,2,0,0.0,0.0,2,53,3.06,0.06,2,29,1.74,2,22,1.32,2,0,0.0,2,7,0.0,0,0.0,0,0.0,0.0,1276,3,15.0,93.47,0.0,91.47,0.0,171,80,74,0,0.0
2013,6,1040418,178,0,3,0.0,43.39,1,1,0,1,4,3,43.03,84,43.33,173.97,12.0,22.57,3,0,0.0,0.0,3,47,16.34,108.95,3,0,0.0,0.0,3,6,0.06,0.06,4,0,0.0,4,6,0.06,4,0,0.0,4,19,0.0,1,0.0,0,0.0,0.0,1276,11,115.11,898.12,0.0,789.3,1.0,236,2,219,15,0.0
2013,6,1103748,122,0,18,10.32,0.0,1,0,0,0,30,0,0.0,1,0.0,0.0,0.0,0.0,18,0,0.0,0.0,18,0,0.0,0.0,18,0,0.0,0.0,18,0,0.0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,3,0.0,0,0.0,0,0.0,0.0,1276,1,6.0,18.4,0.0,14.33,0.0,16,0,14,0,0.0
2013,6,1105016,37,0,1,11.8,14.0,1,1,0,1,20,1,12.0,83,12.74,85.02,1.22,8.1,1,0,0.0,0.0,1,74,12.74,84.92,1,0,0.0,0.0,1,27,1.26,0.06,2,0,0.0,2,21,1.26,2,0,0.0,2,17,0.0,0,0.0,0,0.0,0.0,1276,4,27.0,89.9,0.0,89.32,0.0,29,0,22,0,0.0
2013,6,1108125,15880,1,275,13.66,1.41,1,1,1,1,275,1,15.0,23,0.0,5.83,0.0,1.28,275,0,0.0,0.0,275,7,0.0,0.0,275,0,0.0,0.0,275,51,1.26,0.06,275,1,0.06,275,47,1.2,275,0,0.0,275,43,0.0,0,0.0,6,1.69,0.15,1276,3,15.0,1.0,0.0,0.0,0.0,31,1,28,0,0.0
2013,6,1153651,59,0,1,2.47,3.31,1,1,0,1,26,1,4.0,46,3.19,30.42,0.53,4.98,1,0,0.0,0.0,1,27,2.66,17.75,1,0,0.0,0.0,1,2,0.12,0.06,29,0,0.0,29,2,0.12,29,0,0.0,29,1,0.0,0,0.0,0,0.0,0.0,34,6,22.0,128.77,0.0,104.22,0.0,43,7,36,0,0.3
2013,6,6911,837,0,1,5.54,38.65,1,1,0,1,5,3,36.0,200,38.29,257.18,2.21,14.73,1,0,0.0,0.0,1,110,17.26,115.03,1,0,0.0,0.0,1,8,0.36,0.06,2,0,0.0,2,6,0.36,2,0,0.0,2,10,0.0,0,0.0,0,0.0,0.0,1276,11,120.0,648.8,0.0,288.8,0.0,14,0,11,0,0.0
2013,6,11662,904,0,6,4.55,1.65,1,0,0,0,70,0,0.0,12,1.65,11.4,0.3,2.0,6,0,0.0,0.0,6,9,1.65,11.0,6,0,0.0,0.0,6,0,0.0,0.0,70,0,0.0,70,0,0.0,70,0,0.0,70,4,0.0,0,0.0,0,0.0,0.0,1276,1,6.0,53.98,0.0,49.0,0.0,1,0,0,0,0.0
2013,6,38208,295,0,15,0.38,0.0,1,0,0,0,1276,0,0.0,2,0.0,0.0,0.0,0.0,15,0,0.0,0.0,15,0,0.0,0.0,15,0,0.0,0.0,15,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,68784,1986,0,1,11.72,6.73,1,1,0,1,23,1,12.01,89,2.99,24.62,0.49,3.25,2,0,0.0,0.0,2,61,2.99,19.95,2,0,0.0,0.0,2,111,3.74,0.11,1,0,0.0,1,55,3.3,1,0,0.0,1,17,0.0,0,0.0,0,0.0,0.0,1276,3,12.005,129.12,0.0,36.1,75.88,300,0,157,18,0.0
2013,6,109381,1986,0,2,9.81,1.4,1,1,0,0,30,0,0.0,10,0.4,6.57,0.18,1.33,2,0,0.0,0.0,2,1,0.18,1.17,2,1,0.08,0.78,2,10,1.0,0.11,13,2,0.12,13,0,0.0,13,8,0.88,13,9,0.0,8,0.0,0,0.0,0.0,1276,1,6.0,18.78,0.0,6.85,0.82,34,9,10,14,0.0
2013,6,168417,1985,0,1,4.52,50.26,1,1,0,1,1,13,54.0,306,45.1,334.17,1.13,7.5,1,0,0.0,0.0,1,198,37.69,251.23,1,0,0.0,0.0,1,86,5.16,0.06,1,0,0.0,1,86,5.16,1,0,0.0,1,34,0.0,0,0.0,0,0.0,0.0,1276,47,200.0,1320.78,0.0,980.23,0.0,264,1,263,0,0.0
